,Class,HistoricalPrice,Id,Level,MarketValue,MinBuyout,Name,NumAuctions,Quantity,RegionAvgDailySold,RegionHistoricalPrice,RegionMarketAvg,RegionMinBuyoutAvg,RegionQuantity,RegionSaleAvg,RegionSaleRate,SubClass,VendorBuy,VendorSell,RegionQuantity_Log
64,Consumable,0,41146,75,0,0,Sun Scope,0,0,0.08,23106154,23658983,26986958,2,4911563,0.08,Explosives and Devices,200000,50000,0.6931471805599453
65,Consumable,0,41167,80,0,0,Heartseeker Scope,0,0,0.0,23829121,24600553,30148043,2,10000,0.0,Explosives and Devices,100000,25000,0.6931471805599453
66,Consumable,988571,42546,80,995000,0,Mana Injector Kit,0,0,0.0,1780056,1424129,1359249,25,0,0.0,Explosives and Devices,5405,1351,3.2188758248682006
67,Consumable,0,42641,75,0,0,Global Thermal Sapper Charge,0,0,0.0,372692,380376,388888,74,0,0.0,Explosives and Devices,20000,5000,4.30406509320417
68,Consumable,1130561,44739,75,1273004,0,Diamond-Cut Refractor Scope,0,0,0.0,2462731,1940209,1418667,5,0,0.0,Explosives and Devices,140000,35000,1.6094379124341003
69,Consumable,8000000,48933,80,8000000,0,Wormhole Generator: Northrend,0,0,0.13,58767699,55564210,51341955,2,37562730,0.13,Explosives and Devices,20000,5000,0.6931471805599453
70,Consumable,0,59594,85,0,0,Gnomish X-Ray Scope,0,0,0.25,47779085,50733124,60797300,1,38000000,0.25,Explosives and Devices,100000,25000,0.0
71,Consumable,3890000,59595,85,3890000,0,R19 Threatfinder,0,0,0.0,10342032,12412714,10530649,2,0,0.0,Explosives and Devices,100000,25000,0.6931471805599453
72,Consumable,10197053,59596,85,0,0,Safety Catch Removal Kit,0,0,0.4,6224278,10081871,6708193,2,9665666,0.2,Explosives and Devices,100000,25000,0.6931471805599453
73,Consumable,74017,60223,85,0,0,High-Powered Bolt Gun,0,0,0.07,12996052,13136630,14940918,1,941887,0.07,Explosives and Devices,90000,22500,0.0
74,Consumable,2700,60853,81,0,0,Volatile Seaforium Blastpack,0,0,0.0,5635049,7020178,5816744,13,0,0.0,Explosives and Devices,3600,900,2.5649493574615367
75,Consumable,0,60854,85,0,0,Loot-A-Rang,0,0,0.21,61122705,61645716,69124391,1,35988327,0.21,Explosives and Devices,90000,22500,0.0
76,Consumable,235897121,70139,85,194405228,100000000,Flintlocke's Woodchucker,1,1,0.2,221062045,184910857,171399167,1,129434907,0.2,Explosives and Devices,100000,25000,0.0
77,Consumable,0,77529,90,0,0,Lord Blastington's Scope of Doom,0,0,0.22,45349886,38990055,50821552,2,55624898,0.22,Explosives and Devices,100000,25000,0.6931471805599453
78,Consumable,573000,77531,90,573000,0,Mirror Scope,0,0,1.02,8075264,10258027,8937191,7,3166020,0.17,Explosives and Devices,100000,25000,1.9459101490553132
79,Consumable,0,77532,85,0,0,Locksmith's Powderkeg,0,0,0.0,8937197,9742701,7783468,6,0,0.0,Explosives and Devices,3600,900,1.791759469228055
80,Consumable,76344,77589,90,38572,20000,G91 Landshark,7,128,2.52,421551,296330,202245,18,6966,0.14,Explosives and Devices,0,2500,2.8903717578961645
81,Consumable,0,87215,90,0,0,Wormhole Generator: Pandaria,0,0,0.06,120611625,131622865,127619508,2,50173972,0.06,Explosives and Devices,20000,5000,0.6931471805599453
82,Consumable,204931,87216,90,208935,30000,Thermal Anvil,4,4,3.64,230919,268243,131903,13,175985,0.26,Explosives and Devices,0,250,2.5649493574615367
83,Consumable,16739725,108745,1,6415995,33246250,Personal Hologram,1,1,0.45,11405619,10227959,9871407,3,4451656,0.15,Explosives and Devices,0,300000,1.0986122886681098
84,Consumable,5049250,109120,100,894753,0,Oglethorpe's Missile Splitter,0,0,0.22,7972797,11307630,8204753,3,1899998,0.11,Explosives and Devices,120000,30000,1.0986122886681098
85,Consumable,25553526,109122,100,0,0,Megawatt Filament,0,0,0.26,11755683,11474104,11776622,3,10647312,0.13,Explosives and Devices,1200000,300000,1.0986122886681098
86,Consumable,4020203,109167,100,5144727,9489990,Findle's Loot-A-Rang,3,3,0.6,11010834,9912548,9298251,4,4685436,0.2,Explosives and Devices,90000,22500,1.3862943611198906
87,Consumable,20442658,109183,1,18062432,37350000,World Shrinker,2,2,0.39,11451371,10196129,9343055,3,7395893,0.13,Explosives and Devices,30000,7500,1.0986122886681098
88,Consumable,5193035,109253,90,8980282,0,Ultimate Gnomish Army Knife,0,0,2.6,2143965,2020323,1141882,10,1364585,0.26,Explosives and Devices,9027,2256,2.302585092994046
89,Consumable,58259082,109574,1,42047793,0,GUMM-E,0,0,0.29,20253293,21474683,24274895,1,14152478,0.29,Explosives and Devices,16000,4000,0.0
90,Consumable,31395241,111820,1,32332659,32329988,Swapblaster,3,3,1.12,29215413,29711179,22810701,6,17620352,0.28,Explosives and Devices,300000,75000,1.791759469228055
91,Consumable,20958192,112059,100,12946088,12939868,Wormhole Centrifuge,5,5,0.22,13943357,12711042,11927984,3,4398809,0.11,Explosives and Devices,20000,5000,1.0986122886681098
92,Consumable,11772,118007,100,4552,3499,Mecha-Blast Rocket,15,55,5.89,12045,10257,6487,30,9720,0.19,Explosives and Devices,6000,1500,3.4011973816621555
93,Consumable,27002481,118008,100,30000000,0,Hemet's Heartseeker,0,0,0.0,5923232,6315069,5555748,2,0,0.0,Explosives and Devices,1200000,300000,0.6931471805599453
94,Consumable,3130010,132509,80,7775973,8547327,Deployable Bullet Dispenser,2,3,0.3,2908990,3080447,3151768,6,1418018,0.05,Explosives and Devices,4000,1000,1.791759469228055
95,Consumable,81596,132510,85,49644,0,Gunpowder Charge,0,0,12.09,239324,386555,353979,78,24177,0.13,Explosives and Devices,3000,750,4.356708826689592
96,Consumable,5000000,132511,110,0,0,Pump-Action Bandage Gun,0,0,0.72,9230864,11934780,14145894,3,4531227,0.36,Explosives and Devices,3000,750,1.0986122886681098
97,Consumable,12006240,132513,105,3850901,2416599,Gunpack,36,36,5.04,5005214,5735810,4008661,14,2529773,0.36,Explosives and Devices,3500,875,2.6390573296152584
98,Consumable,4040115,132514,105,3942481,4587500,Auto-Hammer,28,82,36.14,2626031,3024586,2955422,152,2023121,0.26,Explosives and Devices,3500,875,5.0238805208462765
99,Consumable,1649661,132515,105,3626382,0,Failure Detection Pylon,0,0,10.5,1112056,1100569,1060967,55,652317,0.14,Explosives and Devices,3500,875,4.007333185232471
100,Consumable,851900,132516,105,655334,697900,Gunshoes,3,15,115.5,1733574,1746224,1702692,142,1223089,0.55,Explosives and Devices,3500,875,4.955827057601261
101,Consumable,102144174,132517,105,110935802,0,Intra-Dalaran Wormhole Generator,0,0,0.16,34015015,32752330,43736261,2,10393000,0.08,Explosives and Devices,3500,875,0.6931471805599453
102,Consumable,18144808,132518,105,55378018,62990000,Blingtron's Circuit Design Tutorial,2,2,0.64,23714660,27770280,26708147,4,13799161,0.16,Explosives and Devices,3500,875,1.3862943611198906
103,Consumable,368874862,132519,105,404888680,359989999,Trigger,3,3,0.19,101895215,90198138,78978595,2,36384944,0.19,Explosives and Devices,3500,875,0.6931471805599453
104,Consumable,0,132524,105,0,0,Reaves Module: Wormhole Generator Mode,0,0,0.5,214092612,263328351,317773608,1,94994699,0.5,Explosives and Devices,3500,875,0.0
105,Consumable,46021073,132525,105,0,0,Reaves Module: Repair Mode,0,0,0.33,74786222,85746274,94935917,2,46770766,0.33,Explosives and Devices,3500,875,0.6931471805599453
106,Consumable,99144310,132526,105,100006149,0,Reaves Module: Failure Detection Mode,0,0,0.08,101859622,110425012,114060537,2,17975984,0.08,Explosives and Devices,3500,875,0.6931471805599453
107,Consumable,125165794,132528,105,0,0,Reaves Module: Fireworks Display Mode,0,0,0.0,154433680,147288878,150321913,1,0,0.0,Explosives and Devices,3500,875,0.0
108,Consumable,296268774,132530,105,0,0,Reaves Module: Bling Mode,0,0,0.23,311421587,233205389,210531321,1,177326996,0.23,Explosives and Devices,3500,875,0.0
109,Consumable,0,132531,105,0,0,Reaves Module: Piloted Combat Mode,0,0,0.0,2505858183,2552908056,2855208951,1,0,0.0,Explosives and Devices,3500,875,0.0
110,Consumable,130678655,136851,1,0,0,Commander Domitille's Helm,0,0,0.0,202425144,253325359,295988967,1,0,0.0,Explosives and Devices,0,0,0.0
111,Consumable,27401627,151652,110,26431321,10000000,Wormhole Generator: Argus,3,3,1.26,12718367,14910027,16879115,3,5837749,0.42,Explosives and Devices,0,5000,1.0986122886681098
112,Consumable,300830,153487,1,106307,249000,Organic Discombobulation Grenade,5,30,18.5,618067,187875,169636,64,664749,0.25,Explosives and Devices,0,0,4.1588830833596715
113,Consumable,242012,153490,1,108155,100000,F.R.I.E.D.,2,3,20.52,721282,552595,515242,97,418048,0.19,Explosives and Devices,0,0,4.574710978503383
114,Consumable,855230,153494,1,817211,1647293,Thermo-Accelerated Plague Spreader,6,5,6.58,999063,588335,429717,45,284611,0.14,Explosives and Devices,0,0,3.8066624897703196
115,Consumable,719217,153510,1,1621050,4898899,Interdimensional Companion Repository,2,2,3.42,1015373,394965,333003,29,90685,0.09,Explosives and Devices,0,0,3.367295829986474
116,Consumable,2813375,153512,1,188707,195000,XA-1000 Surface Skimmer,19,28,5.28,3019446,1741469,1659684,21,1207855,0.24,Explosives and Devices,12500,3125,3.044522437723423
